"Digikey part number","description","quantity"
"ED1516-ND","TERMINAL BLOCK 3.5MM 4POS PCB",1
"ED2741-ND","TERMINAL BLOCK 3.5MM 3POS PCB",1
"CP-3523SJTR-ND","CONN AUDIO JACK 3.5MM STEREO SMD",4
"LMC6484IN/NOPB-ND","IC OPAMP GP 1.5MHZ RRO 14DIP",3
"RNF14FTD20K0CT-ND","RES 20K OHM 1/4W 1% AXIAL",8
"CF14JT10K0CT-ND","RES 10K OHM 1/4W 5% CARBON FILM",12
"CF14JT39K0CT-ND","RES 39K OHM 1/4W 5% CARBON FILM",8
"CF14JT300RCT-ND","RES 300 OHM 1/4W 5% CARBON FILM",4
"BC1025CT-ND","CAP CER 1000PF 50V 5% RADIAL",4
"BC1018CT-ND","CAP CER 270PF 50V 5% RADIAL",4
"BC1013CT-ND","CAP CER 100PF 50V 5% RADIAL",4
"BC1084CT-ND","CAP CER 0.1UF 50V 10% RADIAL",6
"BC1022CT-ND","CAP CER 560PF 50V 5% RADIAL",4
"H342-ND","Screws 440",4
"36-8714-ND","Standoffs 440",4
